Date,TSLA_Open,TSLA_High,TSLA_Low,TSLA_Adj Close,TSLA_Volume,Crude_Oil,DJI,Gold,Silver,Nasdaq,S&P,operating_cash_flow,total_revenue,current_assets,current_liabilities,TSLA_Close
2018-10-22,17.378668,17.457333,16.839333,17.396667,84004500,69.169998,25317.410156,1221.199951,14.522,7468.629883,2755.879883,2405000.0,24578000.0,12103000.0,26199000.0,17.396667
2018-10-23,17.591333,19.862,17.473333,19.609333,285417000,66.43,25191.429688,1233.400024,14.728,7437.540039,2740.689941,2405000.0,24578000.0,12103000.0,26199000.0,19.609333
2018-10-24,20.07,20.296,19.048668,19.233334,300874500,66.82,24583.419922,1227.800049,14.611,7108.399902,2656.100098,2405000.0,24578000.0,12103000.0,26199000.0,19.233334
2018-10-25,21.148001,21.4,20.067333,20.990667,312610500,67.330002,24984.550781,1229.099976,14.565,7318.339844,2705.570068,2405000.0,24578000.0,12103000.0,26199000.0,20.990667
2018-10-26,20.549999,22.66,20.443333,22.059999,411382500,67.589996,24688.310547,1232.5,14.635,7167.209961,2658.689941,2405000.0,24578000.0,12103000.0,26199000.0,22.059999
2018-10-29,22.497999,23.143999,21.766666,22.323334,217290000,67.040001,24442.919922,1224.5,14.377,7050.290039,2641.25,2405000.0,24578000.0,12103000.0,26199000.0,22.323334
2018-10-30,21.892668,22.526667,21.483999,21.993334,136900500,66.18,24874.640625,1222.599976,14.403,7161.649902,2682.629883,2405000.0,24578000.0,12103000.0,26199000.0,21.993334
2018-10-31,22.169333,22.799999,21.940001,22.488001,114364500,65.309998,25115.759766,1212.300049,14.229,7305.899902,2711.73999,2405000.0,24578000.0,12103000.0,26199000.0,22.488001
2018-11-01,22.550667,23.189333,22.315332,22.952,120001500,63.689999,25380.740234,1236.0,14.729,7434.060059,2740.370117,2405000.0,24578000.0,12103000.0,26199000.0,22.952
2018-11-02,22.916,23.280001,22.727333,23.094,117120000,63.139999,25270.830078,1230.900024,14.707,7356.990234,2723.060059,2405000.0,24578000.0,12103000.0,26199000.0,23.094
2018-11-05,22.700001,22.930668,22.009333,22.76,117465000,63.099998,25461.699219,1229.800049,14.604,7328.850098,2738.310059,2405000.0,24578000.0,12103000.0,26199000.0,22.76
2018-11-06,22.604668,23.253332,22.406,22.737333,101443500,62.209999,25635.009766,1223.800049,14.458,7375.959961,2755.449951,2405000.0,24578000.0,12103000.0,26199000.0,22.737333
2018-11-07,22.889334,23.412001,22.719999,23.210667,110617500,61.669998,26180.300781,1226.199951,14.528,7570.75,2813.889893,2405000.0,24578000.0,12103000.0,26199000.0,23.210667
2018-11-08,23.233334,23.838667,23.229334,23.426666,106360500,60.669998,26191.220703,1222.900024,14.386,7530.879883,2806.830078,2405000.0,24578000.0,12103000.0,26199000.0,23.426666
2018-11-09,23.266666,23.6,23.015333,23.367332,76482000,60.189999,25989.300781,1206.400024,14.103,7406.899902,2781.01001,2405000.0,24578000.0,12103000.0,26199000.0,23.367332
2018-11-12,23.224667,23.318666,22.022667,22.085333,104122500,59.93,25387.179688,1201.300049,13.974,7200.870117,2726.219971,2405000.0,24578000.0,12103000.0,26199000.0,22.085333
2018-11-13,22.210667,22.98,22.146667,22.582001,81729000,55.689999,25286.490234,1199.199951,13.952,7200.870117,2722.179932,2405000.0,24578000.0,12103000.0,26199000.0,22.582001
2018-11-14,22.846666,23.140667,22.476667,22.933332,75604500,56.25,25080.5,1207.900024,14.055,7136.390137,2701.580078,2405000.0,24578000.0,12103000.0,26199000.0,22.933332
2018-11-15,22.822001,23.238667,22.602667,23.229334,69385500,56.459999,25289.269531,1212.800049,14.237,7259.029785,2730.199951,2405000.0,24578000.0,12103000.0,26199000.0,23.229334
2018-11-16,23.012667,23.713333,23.007999,23.620667,108093000,56.459999,25413.220703,1220.800049,14.358,7247.870117,2736.27002,2405000.0,24578000.0,12103000.0,26199000.0,23.620667
2018-11-19,23.756001,24.450001,23.525333,23.564667,145633500,56.759998,25017.439453,1223.099976,14.381,7028.47998,2690.72998,2405000.0,24578000.0,12103000.0,26199000.0,23.564667
2018-11-20,22.783333,23.32,22.236668,23.166,120070500,53.43,24465.640625,1219.0,14.247,6908.819824,2641.889893,2405000.0,24578000.0,12103000.0,26199000.0,23.166
2018-11-21,23.466667,23.540001,22.493334,22.546,70302000,54.630001,24464.689453,1225.800049,14.48,6972.25,2649.929932,2405000.0,24578000.0,12103000.0,26199000.0,22.546
2018-11-23,22.290001,22.5,21.703333,21.722,63039000,50.419998,24285.949219,1221.0,14.221,6938.97998,2632.560059,2405000.0,24578000.0,12103000.0,26199000.0,21.722
2018-11-26,21.666668,23.081333,21.666668,23.066668,119881500,51.630001,24640.240234,1220.199951,14.183,7081.850098,2673.449951,2405000.0,24578000.0,12103000.0,26199000.0,23.066668
2018-11-27,22.67,23.130667,22.366667,22.927999,95374500,51.560001,24748.730469,1211.199951,14.062,7082.700195,2682.169922,2405000.0,24578000.0,12103000.0,26199000.0,22.927999
2018-11-28,23.066,23.218666,22.813999,23.191334,61914000,50.290001,25366.429688,1221.400024,14.303,7291.589844,2743.790039,2405000.0,24578000.0,12103000.0,26199000.0,23.191334
2018-11-29,23.133333,23.166668,22.636667,22.744667,46210500,51.450001,25338.839844,1224.099976,14.273,7273.080078,2737.800049,2405000.0,24578000.0,12103000.0,26199000.0,22.744667
2018-11-30,22.788668,23.440001,22.550667,23.365334,84436500,50.93,25538.460938,1220.199951,14.094,7330.540039,2760.169922,2405000.0,24578000.0,12103000.0,26199000.0,23.365334
